id,short_name,full_name,nation,club,position,preferred_foot,tier,ovr,age,height_cm,weight_kg,weak_foot,skill_moves,work_rate,league,image,image_type,data_version,stats_pac,stats_sho,stats_pas,stats_dri,stats_def,stats_phy
mvm_001,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,Al Nassr,ST,Right,Gold,88,34,185,81,5,2,High/Low,Custom MVMPACK 2026,images/player_001.png,original illustrated portrait asset,MVMPACK-2026.08-v1,90,96,74,89,32,84
mvm_002,Kylian Mbappé,Kylian Mbappé Lottin,France,Real Madrid,ST,Right,Gold,88,37,185,71,4,5,High/Low,Custom MVMPACK 2026,images/player_002.png,original illustrated portrait asset,MVMPACK-2026.08-v1,92,98,74,88,31,87
mvm_003,Erling Haaland,Erling Braut Haaland,Norway,Manchester City,ST,Left,Gold,87,36,187,82,4,2,High/Low,Custom MVMPACK 2026,images/player_003.png,original illustrated portrait asset,MVMPACK-2026.08-v1,88,95,67,88,25,86
mvm_004,Jude Bellingham,Jude Victor William Bellingham,England,Real Madrid,CM,Right,Gold,86,32,178,74,3,5,High/High,Custom MVMPACK 2026,images/player_004.png,original illustrated portrait asset,MVMPACK-2026.08-v1,79,65,89,86,74,78
mvm_005,Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,Brazil,Real Madrid,LW,Right,Gold,85,28,180,69,4,4,High/Low,Custom MVMPACK 2026,images/player_005.png,original illustrated portrait asset,MVMPACK-2026.08-v1,99,85,81,96,35,61
mvm_006,Florian Wirtz,Florian Richard Wirtz,Germany,Liverpool,CAM,Right,Gold,85,29,178,74,2,3,Medium/High,Custom MVMPACK 2026,images/player_006.png,original illustrated portrait asset,MVMPACK-2026.08-v1,84,77,85,96,39,65
mvm_007,Rafael Leão,Rafael Alexandre da Conceição Leão,Portugal,AC Milan,LW,Right,Gold,84,33,172,69,5,2,High/Low,Custom MVMPACK 2026,images/player_007.png,original illustrated portrait asset,MVMPACK-2026.08-v1,94,86,83,92,31,64
mvm_008,Rúben Dias,Rúben Santos Gato Alves Dias,Portugal,Manchester City,CB,Right,Gold,84,38,182,76,2,5,Medium/High,Custom MVMPACK 2026,images/player_008.png,original illustrated portrait asset,MVMPACK-2026.08-v1,75,33,70,65,84,86
mvm_009,Rodri,Rodrigo Hernández Cascante,Spain,Manchester City,CDM,Right,Gold,84,33,187,77,4,2,High/High,Custom MVMPACK 2026,images/player_009.png,original illustrated portrait asset,MVMPACK-2026.08-v1,64,50,81,74,87,85
mvm_010,Achraf Hakimi,Achraf Hakimi Mouh,Morocco,Paris Saint-Germain,RB,Right,Gold,84,39,179,75,4,2,Medium/High,Custom MVMPACK 2026,images/player_010.png,original illustrated portrait asset,MVMPACK-2026.08-v1,90,51,75,81,75,73
mvm_011,Ousmane Dembélé,Ousmane Dembélé,France,Paris Saint-Germain,RW,Left,Gold,84,28,174,73,5,5,High/Low,Custom MVMPACK 2026,images/player_011.png,original illustrated portrait asset,MVMPACK-2026.08-v1,97,79,82,94,31,56
mvm_012,Lautaro Martínez,Lautaro Javier Martínez,Argentina,Inter Milan,ST,Right,Gold,84,34,187,76,5,3,High/Low,Custom MVMPACK 2026,images/player_012.png,original illustrated portrait asset,MVMPACK-2026.08-v1,88,95,67,90,29,87
mvm_013,Mohamed Salah,Mohamed Salah Hamed Mahrous Ghaly,Egypt,Liverpool,RW,Left,Gold,84,34,177,67,2,5,High/Low,Custom MVMPACK 2026,images/player_013.png,original illustrated portrait asset,MVMPACK-2026.08-v1,98,85,82,98,28,61
mvm_014,Harry Kane,Harry Edward Kane,England,Bayern Munich,ST,Right,Gold,84,31,181,78,2,4,High/Low,Custom MVMPACK 2026,images/player_014.png,original illustrated portrait asset,MVMPACK-2026.08-v1,88,90,70,89,23,88
mvm_015,Kevin De Bruyne,Kevin De Bruyne,Belgium,Manchester City,CM,Right,Gold,83,30,171,77,5,3,High/High,Custom MVMPACK 2026,images/player_015.png,original illustrated portrait asset,MVMPACK-2026.08-v1,72,61,94,80,67,69
mvm_016,Lionel Messi,Lionel Andrés Messi Cuccittini,Argentina,Inter Miami,RW,Left,Gold,83,32,184,73,3,5,High/Low,Custom MVMPACK 2026,images/player_016.png,original illustrated portrait asset,MVMPACK-2026.08-v1,99,85,78,95,32,57
mvm_017,Lamine Yamal,Lamine Yamal Nasraoui Ebana,Spain,Barcelona,RW,Left,Gold,82,25,176,66,3,4,High/Low,Custom MVMPACK 2026,images/player_017.png,original illustrated portrait asset,MVMPACK-2026.08-v1,97,83,83,94,31,59
mvm_018,Pedri,Pedri González López,Spain,Barcelona,CM,Right,Gold,83,27,182,70,2,3,High/High,Custom MVMPACK 2026,images/player_018.png,original illustrated portrait asset,MVMPACK-2026.08-v1,71,60,87,83,74,75
mvm_019,Bukayo Saka,Bukayo Saka,England,Arsenal,RW,Left,Gold,82,30,176,70,3,5,High/Low,Custom MVMPACK 2026,images/player_019.png,original illustrated portrait asset,MVMPACK-2026.08-v1,97,81,80,99,28,56
mvm_020,Federico Valverde,Federico Santiago Valverde Dipetta,Uruguay,Real Madrid,CM,Right,Gold,82,31,175,77,2,3,High/High,Custom MVMPACK 2026,images/player_020.png,original illustrated portrait asset,MVMPACK-2026.08-v1,75,57,90,85,65,75
mvm_021,William Saliba,William Alain André Gabriel Saliba,France,Arsenal,CB,Right,Gold,82,26,184,78,5,2,Medium/High,Custom MVMPACK 2026,images/player_021.png,original illustrated portrait asset,MVMPACK-2026.08-v1,69,31,63,62,91,88
mvm_022,Mike Maignan,Vincent Jean Mpasi Nkounkou,France,AC Milan,GK,Right,Gold,82,24,195,79,4,3,Medium/High,Custom MVMPACK 2026,images/player_022.png,original illustrated portrait asset,MVMPACK-2026.08-v1,67,27,54,60,23,73
mvm_023,Gianluigi Donnarumma,Gianluigi Donnarumma,Italy,Paris Saint-Germain,GK,Left,Gold,82,32,190,75,4,3,Medium/High,Custom MVMPACK 2026,images/player_023.png,original illustrated portrait asset,MVMPACK-2026.08-v1,65,26,57,53,23,70
mvm_024,Antoine Griezmann,Antoine Griezmann,France,Atlético Madrid,CF,Left,Gold,82,29,185,78,4,2,Medium/High,Custom MVMPACK 2026,images/player_024.png,original illustrated portrait asset,MVMPACK-2026.08-v1,84,84,83,93,32,75
mvm_025,Robert Lewandowski,Robert Lewandowski,Poland,Barcelona,ST,Right,Gold,82,28,187,75,3,2,High/Low,Custom MVMPACK 2026,images/player_025.png,original illustrated portrait asset,MVMPACK-2026.08-v1,90,92,63,87,23,83
mvm_026,Jamal Musiala,Jamal Musiala,Germany,Bayern Munich,CAM,Right,Gold,82,28,181,69,2,4,Medium/High,Custom MVMPACK 2026,images/player_026.png,original illustrated portrait asset,MVMPACK-2026.08-v1,77,80,91,92,35,61
mvm_027,Phil Foden,Phil Foden,England,Manchester City,CAM,Left,Gold,81,22,172,71,2,2,Medium/High,Custom MVMPACK 2026,images/player_027.png,original illustrated portrait asset,MVMPACK-2026.08-v1,81,78,85,96,33,60
mvm_028,Cole Palmer,Cole Palmer,England,Chelsea,CAM,Left,Gold,81,28,173,64,2,3,Medium/High,Custom MVMPACK 2026,images/player_028.png,original illustrated portrait asset,MVMPACK-2026.08-v1,78,75,88,90,35,60
mvm_029,Martin Ødegaard,Martin Ødegaard,Norway,Arsenal,CM,Left,Gold,81,26,173,75,5,2,High/High,Custom MVMPACK 2026,images/player_029.png,original illustrated portrait asset,MVMPACK-2026.08-v1,70,60,84,81,68,71
mvm_030,Bruno Fernandes,Bruno Miguel Borges Fernandes,Portugal,Manchester United,CAM,Right,Gold,81,27,173,78,3,4,Medium/High,Custom MVMPACK 2026,images/player_030.png,original illustrated portrait asset,MVMPACK-2026.08-v1,84,77,82,93,33,62
mvm_031,Bernardo Silva,Bernardo Silva,Portugal,Manchester City,CAM,Left,Gold,81,21,179,76,5,3,Medium/High,Custom MVMPACK 2026,images/player_031.png,original illustrated portrait asset,MVMPACK-2026.08-v1,80,76,86,93,37,61
mvm_032,Joshua Kimmich,Joshua Kimmich,Germany,Bayern Munich,CDM,Right,Gold,81,22,175,72,5,4,High/High,Custom MVMPACK 2026,images/player_032.png,original illustrated portrait asset,MVMPACK-2026.08-v1,69,55,83,75,83,83
